HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,dosage_value,dosage_unit
J2404,"Inj, nicardipine 0.1 mg",0.1 MG,0.066,20.0,,,,,,,0.1,MG
J2405,Ondansetron hcl injection,1 MG,0.093,20.0,,,,,,,1.0,MG
J2406,"Injection, oritavancin 10 mg",10 MG,43.059,20.0,,,,,,,10.0,MG
J2407,"Injection, oritavancin",10 MG,28.468,20.0,,,,,,,10.0,MG
J2425,Palifermin injection,50 MCG,36.628,16.137,,,,,,Inflation-adjusted coinsurance,50.0,MCG
J2426,"Inj, invega sustenna, 1 mg",1 MG,15.111,20.0,,,,,,,1.0,MG
J2427,"Inj, invega hafyera/trinza",1MG,12.991,20.0,,,,,,,1.0,MG
J2428,"Inj, erzofri, 1 mg",1 MG,15.303,20.0,,,,,,,1.0,MG
J2430,Pamidronate disodium /30 mg,30 MG,11.29,20.0,,,,,,,30.0,MG
J2468,"Inj, palonosetron (posfrea)",25 MCG,58.575,20.0,,,,,,,25.0,MCG
J2469,Palonosetron hcl,25 MCG,0.353,20.0,,,,,,AMP-based payment limit,25.0,MCG
J2501,Paricalcitol,1 MCG,0.969,20.0,,,,,,,1.0,MCG
J2502,"Inj, pasireotide long acting",1 MG,575.065,15.093,,,,,,Inflation-adjusted coinsurance,1.0,MG
J2506,Inj pegfilgrast ex bio 0.5mg,0.5 MG,122.837,20.0,,,,,,,0.5,MG
J2507,Pegloticase injection,1 MG,3768.809,19.008,,,,,,Inflation-adjusted coinsurance,1.0,MG
J2508,Pegunigalsidase alfa-iwxj,1 MG,225.948,20.0,,,,,,,1.0,MG
J2516,Pentamidine non-comp unit,1 MG,0.235,20.0,,,,,,Added January 2026,1.0,MG
J2540,Penicillin g potassium inj,600000 UNITS,0.78,20.0,,,,,,,,NAN
J2543,Piperacillin/tazobactam,1.125 GM,1.091,20.0,,,,,,,1.125,GM
J2550,Promethazine hcl injection,50 MG,3.971,20.0,,,,,,,50.0,MG
J2560,Phenobarbital sodium inj,120 MG,29.077,20.0,,,,,,,120.0,MG
J2562,Plerixafor injection,1 MG,30.663,20.0,,,,,,,1.0,MG
J2596,Vasopressin (long grove) 1 u,1 UNIT,1.79,20.0,,,,,,Added January 2026,1.0,UNIT
J2597,Inj desmopressin acetate,1 MCG,3.414,20.0,,,,,,,1.0,MCG
J2598,"Inj, vasopressin, 1 unit",1 UNIT,0.525,20.0,,,,,,,1.0,UNIT
J2599,Inj vasopressin (am reg) 1 u,1 UNIT,0.863,20.0,,,,,,,1.0,UNIT
J2601,"Inj, vasopressin (baxter)",1 UNIT,2.222,20.0,,,,,,,1.0,UNIT
J2675,Inj progesterone per 50 mg,50 MG,0.716,20.0,,,,,,,50.0,MG
J2679,Inj fluphenazine hcl 1.25 mg,1.25 MG,7.391,20.0,,,,,,,1.25,MG
J2680,Fluphenazine decanoate 25 mg,25 MG,6.198,20.0,,,,,,,25.0,MG
J2690,Procainamide hcl injection,1 GM,344.53,20.0,,,,,,,1.0,GM
J2700,Oxacillin sodium injeciton,250 MG,0.569,20.0,,,,,,,250.0,MG
J2704,"Inj, propofol, 10 mg",10 MG,0.089,20.0,,,,,,,10.0,MG
J2720,Inj protamine sulfate/10 mg,10 MG,1.571,20.0,,,,,,,10.0,MG
J2724,Protein c concentrate,10 UNITS,15.014,20.0,,,,,,,10.0,UNITS
